Cluster,Sample 1 Day 1,Sample 2 Day 1,Sample 3 Day 1,Sample 4 Day 1,Sample 5 Day 1,Sample 6 Day 1,Sample 7 Day 1,Sample 8 Day 1,Sample 9 Day 1,Sample 10 Day 1,Sample 11 Day 1,Sample 12 Day 1,Sample 13 Day 1,Sample 14 Day 1,Sample 15 Day 1,Sample 16 Day 1,Sample 17 Day 1,Sample 18 Day 1,Sample 19 Day 1,Sample 20 Day 1,Sample 21 Day 1,Sample 22 Day 1,Sample 23 Day 1,Sample 24 Day 1,Sample 25 Day 1,Sample 26 Day 1,Sample 27 Day 1,Sample 28 Day 1,Sample 29 Day 1,Sample 30 Day 1,Sample 31 Day 1,Sample 32 Day 1,Sample 33 Day 1,Sample 34 Day 1,Sample 35 Day 1,Sample 36 Day 1,Sample 37 Day 1,Sample 38 Day 1,Sample 39 Day 1,Sample 40 Day 1,Sample 41 Day 1,Sample 42 Day 1,Sample 43 Day 1,Sample 44 Day 1,Sample 45 Day 1,Sample 46 Day 1,Sample 54 Day 1,Sample 55 Day 1,Sample 56 Day 1,Sample 57 Day 1,Sample 66 Day 1,Sample 67 Day 1,Sample 68 Day 1,Sample 69 Day 1,Sample 70 Day 1,Sample 1 Day 2,Sample 2 Day 2,Sample 3 Day 2,Sample 4 Day 2,Sample 5 Day 2,Sample 6 Day 2,Sample 7 Day 2,Sample 8 Day 2,Sample 9 Day 2,Sample 10 Day 2,Sample 11 Day 2,Sample 12 Day 2,Sample 13 Day 2,Sample 14 Day 2,Sample 15 Day 2,Sample 16 Day 2,Sample 17 Day 2,Sample 18 Day 2,Sample 19 Day 2,Sample 20 Day 2,Sample 21 Day 2,Sample 22 Day 2,Sample 23 Day 2,Sample 24 Day 2,Sample 25 Day 2,Sample 26 Day 2,Sample 27 Day 2,Sample 28 Day 2,Sample 30 Day 2,Sample 31 Day 2,Sample 32 Day 2,Sample 33 Day 2,Sample 34 Day 2,Sample 35 Day 2,Sample 36 Day 2,Sample 37 Day 2,Sample 38 Day 2,Sample 39 Day 2,Sample 40 Day 2,Sample 41 Day 2,Sample 42 Day 2,Sample 43 Day 2,Sample 44 Day 2,Sample 45 Day 2,Sample 46 Day 2,Sample 54 Day 2,Sample 55 Day 2,Sample 56 Day 2,Sample 57 Day 2,Sample 66 Day 2,Sample 67 Day 2,Sample 68 Day 2,Sample 69 Day 2,Sample 70 Day 2,Sample 54 Day 3,Sample 55 Day 3,Sample 56 Day 3,Sample 57 Day 3
G3P_21,0.0,16.858094609360197,30.156977334946664,9.965830695089442,37.537748233482716,0.0,0.0,0.0,0.0,0.0,0.0,9.83732093243275,0.0,31.55178409035512,31.412024560325975,12.072308469557,10.174448222570158,0.0,9.38587458651709,0.0,20.508894928939387,0.0,0.0,0.0,11.174032166784656,0.0,0.0,3.0608342158445447,31.803428371321235,0.0,31.84083413172239,34.690055016530124,32.15039034505412,0.0,11.366794263680523,0.0,0.0,0.0,0.0,0.0,0.0,3.963163211728309,11.765654882822234,0.0,0.0,0.0,33.89318579792172,27.65073033652864,26.524001316983842,21.79518849224892,12.382083944944116,0.0,0.0,0.0,10.920932193668913,11.049590530078207,3.5063975209813933,0.0,10.402983806097946,0.0,0.0,0.0,0.0,0.0,9.358425130524132,3.42439687591817,0.0,0.0,0.0,0.0,12.316103447640945,12.736857384531824,12.52758740003544,12.220254571377026,0.0,0.0,10.318010765948236,0.0,0.0,0.0,0.0,0.0,0.0,12.799791062028634,11.222252857764,11.831456091353989,11.541730618638592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.937572366311244,27.677754681716312,30.648040026155968,34.34918919139014,33.530460115073005,0.0,10.606901093081468,11.815681834512418,0.0,12.484969312897926,13.366662215998138,12.738324621932689,11.969951227116397,11.963444051620268
PGK1_2,0.0,0.0,0.0,0.0,8.789128260282219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100578522475026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.002398359496194,9.23124913311931,7.521135640143982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74026541824244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.853034829981991,0.0,0.0
ALBU_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2048611003799805,0.0,0.0,0.0,9.46792671543136,0.0,0.0,0.0,9.3586587550082,0.0,0.0,0.0,8.468277629692677,12.892761683388628,16.81271453723468,0.0,10.488520814205865,7.984946108068365,0.0,0.0,3.717178804617115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.716002358538912,8.546979775873934,0.0,8.524078653851689,10.372873509313472,0.0,6.985384477854286,0.0,9.926888477733185,0.0,0.0,0.0,0.0,0.0,6.619364255316087,3.4039318640994964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.00941538756084,7.070470233723487,0.0,0.0,0.0,9.428847142597208,0.0,0.0,0.0,7.154970486122575,0.0,0.0,8.74977901854935,21.474894165287377,10.11360953293763,11.378359403857084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.940156648345354,8.341651328474619,8.644117153993724,0.0,0.0,0.0,9.463386692063091,0.0,10.61709312335662,6.129532885635841,0.0,0.0,0.0
THRB_1,0.0,0.0,0.0,0.0,0.0,0.0,7.109548766191824,0.0,0.0,0.0,0.0,0.0,0.0,19.77451461218608,30.798777034629747,9.185600995405984,9.43063440628061,0.0,0.0,7.628603667564476,7.449254593807586,0.0,0.0,0.0,2.565296834559768,0.0,0.0,0.0,23.233735091962604,0.0,0.0,19.108764210620045,23.872150301803547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74552401962234,0.0,0.0,16.674829384314844,29.250187924146818,10.376147639113572,13.201688691809052,14.149446761874371,17.307038984623446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.341576692438704,11.16953979541771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.052520940059916,0.0,0.0,0.0,0.0,3.277687779738729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTS_20,0.0,17.648838981237667,15.79378356293627,4.048446680232471,34.92839541205044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.30036361803865,9.884978526304318,8.64311882141482,6.807711709377317,0.0,18.205101196559287,0.0,10.307814693824024,8.49301922603804,0.0,0.0,0.0,8.878806703299775,0.0,0.0,23.798967118960338,2.617416440650408,31.890493888644965,22.949052293779772,9.385300806569544,28.45887621829813,7.944937596498035,0.0,0.0,0.0,0.0,17.788851975539487,0.0,0.0,0.0,0.0,0.0,29.417970527614308,26.206811695487925,0.0,0.0,0.0,0.0,0.0,0.0,10.330982318888505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.378344497401557,33.56708478961128,31.971490426821674,27.30073062718197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.54111802268111,10.341413533752924,33.42225534967384,34.96370289686563,27.487984003453686,0.0,0.0,7.093751244874992,0.0,0.0,31.028942089327657,20.67806692057333,0.0,0.0,0.0,0.0,0.0,30.459552233966953,26.78608536653398,32.71956974636048,31.939663469711473,0.0,0.0,19.44591889670333,0.0,8.750209709300666,30.537569521827386,20.522099383040654,31.131317610691962,0.0
ALBU_7,0.0,0.0,0.0,0.0,3.102599719875033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.380466387656467,9.266183684807292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.362102409254494,0.0,3.692486933396549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.428077988412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.670349528881375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.229988632176491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFAD_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.869374465525834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.996179251149475,25.471503745342325,0.0,20.509498709331112,0.0,9.29777325310923,0.0,7.945229644523407,0.0,0.0,20.44461110006977,0.0,0.0,31.848392606939534,0.0,7.452814347893134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.780522417885331,0.0,28.050947381866838,33.05021799778134,36.0756448882848,24.54312195707756,9.963588469542556,10.945705930772707,0.0,0.0,8.497998591852458,0.0,31.217105593958518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.440967990032572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.07107351529065,0.0,8.467852421744258,0.0
APOA1_15,0.0,3.557597084185618,9.152129280069824,0.0,21.9201738065845,0.0,0.0,28.396102696348372,0.0,0.0,0.0,0.0,0.0,19.93743996265396,14.532084317471403,8.518634645847742,21.998444705399237,38.31211550590021,35.440867175198264,12.9807120824622,9.79103954186996,20.929513102995244,28.93264053102606,7.220162191466355,35.48304341478122,11.762217191783137,38.51782546254871,39.852731789019174,39.68225294112117,36.06855885222209,43.5782438357598,40.643422896163855,36.76155086820908,0.0,3.717178804617115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.77620160639515,9.649383653353254,3.2993358759854745,11.235172018658854,20.443325698620807,9.014000843794298,10.994584642449746,9.598849397064004,23.853296806265124,10.142933815485176,0.0,3.320887150826846,8.396518731452502,0.0,0.0,0.0,0.0,0.0,8.825453125874846,0.0,0.0,0.0,0.0,0.0,3.255299452956381,16.915145176573372,17.389664245214924,0.0,0.0,8.380906814904359,33.412526024079376,0.0,0.0,0.0,0.0,0.0,9.093998006109167,29.331728537700783,29.706589779321227,0.0,6.255780232728074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.765495956492911,0.0,10.13496758423543,9.011116658764,0.0,7.398951899783702,9.1727406520235,0.0,10.69456757675546,28.23334839054857,19.338413999136243,0.0,0.0
ACTB_19,10.602294005414477,17.648838981237667,15.79378356293627,4.048446680232471,34.92839541205044,3.402755676710242,0.0,0.0,12.994340150134478,8.439915265762629,6.927575680639969,9.51031068491465,9.60632583778991,13.018555428693775,12.30036361803865,9.884978526304318,8.64311882141482,6.807711709377317,0.0,18.205101196559287,0.0,10.307814693824024,8.49301922603804,0.0,0.0,0.0,8.878806703299775,0.0,0.0,23.798967118960338,2.617416440650408,31.890493888644965,22.949052293779772,9.385300806569544,28.45887621829813,7.944937596498035,0.0,0.0,8.12487857039916,7.794652097475514,17.788851975539487,17.108787812202195,8.015036129727982,0.0,4.180738493207141,0.0,29.417970527614308,26.206811695487925,27.960886873036884,19.48486126364548,0.0,0.0,0.0,0.0,10.330982318888505,26.870575048547586,0.0,25.935246428455862,14.297154057653364,7.292165313779717,8.033467612752158,0.0,0.0,0.0,18.87760558952904,5.587412482101467,9.957724573971412,17.89333272374012,10.483828107892894,0.0,17.378344497401557,33.56708478961128,31.971490426821674,27.30073062718197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.54111802268111,10.341413533752924,33.42225534967384,34.96370289686563,27.487984003453686,7.783813966259515,0.0,7.093751244874992,0.0,0.0,31.028942089327657,20.67806692057333,9.7415840814889,9.162302208356946,0.0,7.046893268244713,10.819677361268578,30.459552233966953,26.78608536653398,32.71956974636048,31.939663469711473,0.0,0.0,19.44591889670333,8.554250350665093,8.750209709300666,30.537569521827386,20.522099383040654,31.131317610691962,28.495311977857632
ACTS_18,0.0,0.0,9.902666593984192,0.0,32.26354592642077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.322234390307704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.076453976255095,0.0,0.0,0.0,0.0,0.0,7.365059035097543,0.0,0.0,0.0,0.0,0.0,30.253489204397248,29.6856344665571,0.0,0.0,7.554398553035643,0.0,0.0,0.0,9.169780880491848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.257461874107,9.455019261157569,9.540653805718977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.617321218841344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.561277661124436,19.54986414089678,27.121946057154865,17.661857255612546,0.0,0.0,0.0,0.0,8.09008599995207,0.0,18.59326426781773,3.5300372529408386,0.0
